scientific_name,evol_dist,family,group
Sphyrna corona,36.96329035142121,Sphyrnidae,Sharks
Sphyrna tiburo,29.663670353210605,Sphyrnidae,Sharks
Sphyrna tudes,23.82182525,Sphyrnidae,Sharks
Sphyrna media,23.82182525,Sphyrnidae,Sharks
Leptocharias smithii,145.90283366231563,Leptochariidae,Sharks
Eridacnis sinuans,33.09383818303945,Proscylliidae,Sharks
Eridacnis barbouri,33.09383818303945,Proscylliidae,Sharks
Eridacnis radcliffei,65.19407663,Proscylliidae,Sharks
Proscyllium magnificum,19.902954274769726,Proscylliidae,Sharks
Proscyllium habereri,35.680376776539454,Proscylliidae,Sharks
Planonasus parini,54.90903444307891,Pseudotriakidae,Sharks
Pseudotriakis microdon,54.90903444307891,Triakidae,Sharks
Pseudotriakis microdon,54.90903444307891,Pseudotriakidae,Sharks
Gollum attenuatus,53.983289739078906,Pseudotriakidae,Sharks
