scientific_name,estimate,family,habitat,max_size_cm,ventilation_method,reproductive_mode,median_depth,ac,order,source,genus,species
Squalus mahia,,Squalidae,pelagic,59,stationary,lecithotrophic viviparity,277.5,7.737926667,,this study,Squalus,mahia
Squalus albicaudus,,Squalidae,pelagic,52.5,stationary,lecithotrophic viviparity,308,7.737926667,,this study,Squalus,albicaudus
Squalus bahiensis,,Squalidae,pelagic,69,stationary,lecithotrophic viviparity,599,7.737926667,,this study,Squalus,bahiensis
Squalus lobularis,,Squalidae,pelagic,64,stationary,lecithotrophic viviparity,300,7.737926667,,this study,Squalus,lobularis
Squalus quasimodo,,Squalidae,pelagic,85,stationary,lecithotrophic viviparity,417.5,7.737926667,,this study,Squalus,quasimodo
Squatina varii,,Squatinidae,demersal,132,stationary,lecithotrophic viviparity,430.5,10.32279231,,this study,Squatina,varii
Squatina guggenheim,,Squatinidae,demersal,96,stationary,lecithotrophic viviparity,78.5,6.0762,Squatiniformes,this study,Squatina,guggenheim
Squatina formosa,,Squatinidae,demersal,150,stationary,lecithotrophic viviparity,201.5,10.32279231,Squatiniformes,this study,Squatina,formosa
Squatina nebulosa,,Squatinidae,demersal,800,stationary,lecithotrophic viviparity,165,10.32279231,Squatiniformes,this study,Squatina,nebulosa
Squatina japonica,,Squatinidae,demersal,200,stationary,lecithotrophic viviparity,181,10.32279231,Squatiniformes,this study,Squatina,japonica
Carcharhinus humani,,Carcharhinidae,pelagic,84.40000153,ram,matrotrophic viviparity,39.5,9.92492714,,this study,Carcharhinus,humani
Chlamydoselachus africana,,Chlamydoselachidae,pelagic,99,ram,matrotrophic viviparity,850,6.588,,this study,Chlamydoselachus,africana
Pristiophorus nancyae,,Pristiophoridae,pelagic,62.1,stationary,lecithotrophic viviparity,428,5.9166,,this study,Pristiophorus,nancyae
Carcharhinus cerdale,,Carcharhinidae,demersal,140,ram,matrotrophic viviparity,20,9.92492714,,this study,Carcharhinus,cerdale
Ginglymostoma unami,,Ginglymostomatidae,pelagic,280,stationary,lecithotrophic oviparity,6.5,3.1785,,this study,Ginglymostoma,unami
Squalus hawaiiensis,,Squalidae,pelagic,101,stationary,lecithotrophic viviparity,332.5,7.737926667,,this study,Squalus,hawaiiensis
Etmopterus lailae,,Etmopteridae,pelagic,36.79999924,stationary,lecithotrophic viviparity,349,6.274288889,,this study,Etmopterus,lailae
Etmopterus marshae,,Etmopteridae,pelagic,23.39999962,stationary,lecithotrophic viviparity,329.5,6.274288889,,this study,Etmopterus,marshae
