scientific_name,estimate,family,habitat,max_size_cm,ventilation_method,reproductive_mode,median_depth,ac,order,source,genus,species
Alopias superciliosus,0.506126296,Alopiidae,pelagic,484,ram,matrotrophic viviparity,361.5,11.023,Lamniformes,Gilman et al (2022),Alopias,superciliosus
Sphyrna zygaena,0.709677419,Sphyrnidae,pelagic,400,ram,matrotrophic viviparity,100,10.906,Carcharhiniformes,Gilman et al (2022),Sphyrna,zygaena
Carcharhinus falciformis,0.558064516,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,250,10.089,Carcharhiniformes,Gilman et al (2022),Carcharhinus,falciformis
Carcharhinus longimanus,0.341637011,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,541,9.5821,Carcharhiniformes,Gilman et al (2022),Carcharhinus,longimanus
Isurus paucus,0.30952381,Lamnidae,pelagic,427,ram,matrotrophic viviparity,876,10.319,Lamniformes,Gilman et al (2022),Isurus,paucus
Galeocerdo cuvier,0.027777778,Carcharhinidae,pelagic,740,ram,matrotrophic viviparity,556,12.342,,Gilman et al (2022),Galeocerdo,cuvier
Galeorhinus galeus,0,Triakidae,pelagic,199,ram,lecithotrophic viviparity,400,11.901,Carcharhiniformes,Gilman et al (2022),Galeorhinus,galeus
Sphyrna lewini,0.571428571,Sphyrnidae,pelagic,430,ram,matrotrophic viviparity,521.5,14.608,Carcharhiniformes,Gilman et al (2022),Sphyrna,lewini
Carcharhinus altimus,0.636363636,Carcharhinidae,pelagic,300,ram,matrotrophic viviparity,405,17.283,Carcharhiniformes,Gilman et al (2022),Carcharhinus,altimus
Lamna nasus,0.3,Lamnidae,pelagic,365,ram,matrotrophic viviparity,904.5,6.2338,Lamniformes,Gilman et al (2022),Lamna,nasus
Alopias vulpinus,0.666666667,Alopiidae,pelagic,573.3,ram,matrotrophic viviparity,325,8.7014,Lamniformes,Gilman et al (2022),Alopias,vulpinus
Sphyrna mokarran,0,Sphyrnidae,pelagic,610,ram,matrotrophic viviparity,150,7.3981,Carcharhiniformes,Gilman et al (2022),Sphyrna,mokarran
Ginglymostoma cirratum,0,Ginglymostomatidae,pelagic,308,stationary,lecithotrophic viviparity,65,3.1785,Orectolobiformes,Gilman et al (2022),Ginglymostoma,cirratum
Ginglymostoma cirratum,0,Ginglymostomatidae,pelagic,308,ram,lecithotrophic viviparity,65,3.1785,Orectolobiformes,Gilman et al (2022),Ginglymostoma,cirratum
Ginglymostoma cirratum,0,Ginglymostomatidae,pelagic,308,stationary,lecithotrophic oviparity,65,3.1785,,Gilman et al (2022),Ginglymostoma,cirratum
Centrophorus granulosus,1,Centrophoridae,demersal,176,stationary,lecithotrophic viviparity,775,9.3579,,Gilman et al (2022),Centrophorus,granulosus
Isistius brasiliensis,0,Dalatiidae,pelagic,42,ram,lecithotrophic viviparity,1850,15.604,Squaliformes,Gilman et al (2022),Isistius,brasiliensis
Prionace glauca,0,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,Gilman et al (2022),Prionace,glauca
Isurus oxyrinchus,0.2,Lamnidae,pelagic,445,ram,matrotrophic viviparity,375,13.922,Lamniformes,Gilman et al (2022),Isurus,oxyrinchus
Isurus paucus,0.4,Lamnidae,pelagic,427,ram,matrotrophic viviparity,876,10.319,Lamniformes,Gilman et al (2022),Isurus,paucus
Pseudocarcharias kamoharai,0,Pseudocarchariidae,pelagic,122,ram,matrotrophic viviparity,295,5.2458,Lamniformes,Gilman et al (2022),Pseudocarcharias,kamoharai
Carcharhinus obscurus,0,Carcharhinidae,pelagic,420,ram,matrotrophic viviparity,250,7.0963,Carcharhiniformes,Gilman et al (2022),Carcharhinus,obscurus
Galeocerdo cuvier,0,Carcharhinidae,pelagic,740,ram,matrotrophic viviparity,556,12.342,,Gilman et al (2022),Galeocerdo,cuvier
Carcharhinus longimanus,0.096385542,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,541,9.5821,Carcharhiniformes,Gilman et al (2022),Carcharhinus,longimanus
Alopias vulpinus,0,Alopiidae,pelagic,573.3,ram,matrotrophic viviparity,325,8.7014,Lamniformes,Gilman et al (2022),Alopias,vulpinus
Prionace glauca,0.177000191,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,Gilman et al (2022),Prionace,glauca
Galeocerdo cuvier,0.031019775,Carcharhinidae,pelagic,740,ram,matrotrophic viviparity,556,12.342,,Gilman et al (2022),Galeocerdo,cuvier
Prionace glauca,0.457233369,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,Gilman et al (2022),Prionace,glauca
Carcharhinus falciformis,0.729847495,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,250,10.089,Carcharhiniformes,Gilman et al (2022),Carcharhinus,falciformis
Carcharhinus longimanus,0,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,541,9.5821,Carcharhiniformes,Gilman et al (2022),Carcharhinus,longimanus
Lamna nasus,1,Lamnidae,pelagic,365,ram,matrotrophic viviparity,904.5,6.2338,Lamniformes,Gilman et al (2022),Lamna,nasus
Carcharhinus longimanus,0.153846154,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,541,9.5821,Carcharhiniformes,Gilman et al (2022),Carcharhinus,longimanus
Prionace glauca,0,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,Gilman et al (2022),Prionace,glauca
Carcharhinus longimanus,0.045977011,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,541,9.5821,Carcharhiniformes,Gilman et al (2022),Carcharhinus,longimanus
Carcharhinus falciformis,0.25,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,250,10.089,Carcharhiniformes,Gilman et al (2022),Carcharhinus,falciformis
Prionace glauca,0.138968677,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,Gilman et al (2022),Prionace,glauca
Lamna nasus,0.392156863,Lamnidae,pelagic,365,ram,matrotrophic viviparity,904.5,6.2338,Lamniformes,Gilman et al (2022),Lamna,nasus
Isurus oxyrinchus,0.290178571,Lamnidae,pelagic,445,ram,matrotrophic viviparity,375,13.922,Lamniformes,Gilman et al (2022),Isurus,oxyrinchus
Prionace glauca,0.083491461,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,Gilman et al (2022),Prionace,glauca
Isurus oxyrinchus,0.266666667,Lamnidae,pelagic,445,ram,matrotrophic viviparity,375,13.922,Lamniformes,Gilman et al (2022),Isurus,oxyrinchus
Prionace glauca,0.828220859,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,Gilman et al (2022),Prionace,glauca
Carcharhinus falciformis,0,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,250,10.089,Carcharhiniformes,Gilman et al (2022),Carcharhinus,falciformis
Prionace glauca,0.862385321,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,Gilman et al (2022),Prionace,glauca
Carcharhinus falciformis,0,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,250,10.089,Carcharhiniformes,Gilman et al (2022),Carcharhinus,falciformis
Carcharhinus falciformis,0,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,250,10.089,Carcharhiniformes,Gilman et al (2022),Carcharhinus,falciformis
Carcharhinus amblyrhynchos,0,Carcharhinidae,pelagic,265,ram,matrotrophic viviparity,137.5,6.8746,Carcharhiniformes,Gilman et al (2022),Carcharhinus,amblyrhynchos
Galeocerdo cuvier,0,Carcharhinidae,pelagic,740,ram,matrotrophic viviparity,556,12.342,,Gilman et al (2022),Galeocerdo,cuvier
Alopias pelagicus,0,Alopiidae,pelagic,428,ram,matrotrophic viviparity,150,9.7281,Lamniformes,Gilman et al (2022),Alopias,pelagicus
Negaprion acutidens,0,Carcharhinidae,pelagic,310,ram,matrotrophic viviparity,45,4.7028,Carcharhiniformes,Gilman et al (2022),Negaprion,acutidens
Sphyrna lewini,0,Sphyrnidae,pelagic,430,ram,matrotrophic viviparity,521.5,14.608,Carcharhiniformes,Gilman et al (2022),Sphyrna,lewini
Prionace glauca,0.225,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,this study,Prionace,glauca
Prionace glauca,0.2,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,this study,Prionace,glauca
Prionace glauca,0.24,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,this study,Prionace,glauca
Prionace glauca,0.06,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,this study,Prionace,glauca
Prionace glauca,0.08,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,this study,Prionace,glauca
Prionace glauca,0.16,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,this study,Prionace,glauca
Prionace glauca,0.13,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,this study,Prionace,glauca
Carcharhinus falciformis,0.44,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,250,10.089,Carcharhiniformes,this study,Carcharhinus,falciformis
Carcharhinus falciformis,0.39,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,250,10.089,Carcharhiniformes,this study,Carcharhinus,falciformis
Carcharhinus falciformis,0.61,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,250,10.089,Carcharhiniformes,this study,Carcharhinus,falciformis
Carcharhinus falciformis,0.05,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,250,10.089,Carcharhiniformes,this study,Carcharhinus,falciformis
Carcharhinus falciformis,0.2,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,250,10.089,Carcharhiniformes,this study,Carcharhinus,falciformis
Carcharhinus falciformis,0.26,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,250,10.089,Carcharhiniformes,this study,Carcharhinus,falciformis
Alopias vulpinus,0.78,Alopiidae,pelagic,573.3,ram,matrotrophic viviparity,325,8.7014,Lamniformes,this study,Alopias,vulpinus
Alopias vulpinus,0.06,Alopiidae,pelagic,573.3,ram,matrotrophic viviparity,325,8.7014,Lamniformes,this study,Alopias,vulpinus
Alopias vulpinus,0.44,Alopiidae,pelagic,573.3,ram,matrotrophic viviparity,325,8.7014,Lamniformes,this study,Alopias,vulpinus
Isurus oxyrinchus,0.17,Lamnidae,pelagic,445,ram,matrotrophic viviparity,375,13.922,Lamniformes,this study,Isurus,oxyrinchus
Isurus oxyrinchus,0.1,Lamnidae,pelagic,445,ram,matrotrophic viviparity,375,13.922,Lamniformes,this study,Isurus,oxyrinchus
Isurus oxyrinchus,0.3,Lamnidae,pelagic,445,ram,matrotrophic viviparity,375,13.922,Lamniformes,this study,Isurus,oxyrinchus
Lamna nasus,0.18,Lamnidae,pelagic,365,ram,matrotrophic viviparity,904.5,6.2338,Lamniformes,this study,Lamna,nasus
Carcharhinus longimanus,0.04,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,541,9.5821,Carcharhiniformes,this study,Carcharhinus,longimanus
Carcharhinus longimanus,0.5,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,541,9.5821,Carcharhiniformes,this study,Carcharhinus,longimanus
Alopias superciliosus,0.12,Alopiidae,pelagic,484,ram,matrotrophic viviparity,361.5,11.023,Lamniformes,this study,Alopias,superciliosus
Alopias superciliosus,0.25,Alopiidae,pelagic,484,ram,matrotrophic viviparity,361.5,11.023,Lamniformes,this study,Alopias,superciliosus
Sphyrna lewini,1,Sphyrnidae,pelagic,430,ram,matrotrophic viviparity,521.5,14.608,Carcharhiniformes,this study,Sphyrna,lewini
Carcharhinus limbatus,0.31,Carcharhinidae,pelagic,286,ram,matrotrophic viviparity,70,7.7253,Carcharhiniformes,this study,Carcharhinus,limbatus
Sphyrna tiburo,0.4,Sphyrnidae,pelagic,150,ram,matrotrophic viviparity,45,4.199,Carcharhiniformes,this study,Sphyrna,tiburo
Carcharhinus leucas,0.74,Carcharhinidae,pelagic,366,ram,matrotrophic viviparity,82.5,6.6321,Carcharhiniformes,this study,Carcharhinus,leucas
Galeocerdo cuvier,1,Carcharhinidae,pelagic,740,ram,matrotrophic viviparity,556,12.342,,this study,Galeocerdo,cuvier
Sphyrna mokarran,0.57,Sphyrnidae,pelagic,610,ram,matrotrophic viviparity,150,7.3981,Carcharhiniformes,this study,Sphyrna,mokarran
Galeocerdo cuvier,0,Carcharhinidae,pelagic,740,ram,matrotrophic viviparity,556,12.342,,this study,Galeocerdo,cuvier
Carcharhinus obscurus,0.29,Carcharhinidae,pelagic,420,ram,matrotrophic viviparity,250,7.0963,Carcharhiniformes,this study,Carcharhinus,obscurus
Carcharhinus plumbeus,0.2,Carcharhinidae,pelagic,243,ram,matrotrophic viviparity,140,15.327,Carcharhiniformes,this study,Carcharhinus,plumbeus
Carcharhinus obscurus,0.22,Carcharhinidae,pelagic,420,ram,matrotrophic viviparity,250,7.0963,Carcharhiniformes,this study,Carcharhinus,obscurus
Carcharhinus plumbeus,0.05,Carcharhinidae,pelagic,243,ram,matrotrophic viviparity,140,15.327,Carcharhiniformes,this study,Carcharhinus,plumbeus
Lamna nasus,0.17,Lamnidae,pelagic,365,ram,matrotrophic viviparity,904.5,6.2338,Lamniformes,this study,Lamna,nasus
Isurus oxyrinchus,0.36,Lamnidae,pelagic,445,ram,matrotrophic viviparity,375,13.922,Lamniformes,this study,Isurus,oxyrinchus
Carcharhinus obscurus,0.05,Carcharhinidae,pelagic,420,ram,matrotrophic viviparity,250,7.0963,Carcharhiniformes,this study,Carcharhinus,obscurus
Squalus cubensis,0.5,Squalidae,demersal,110,stationary,lecithotrophic viviparity,370.5,7.737926667,Squaliformes,this study,Squalus,cubensis
Centrophorus sp,0.83,Centrophoridae,demersal,155,stationary,lecithotrophic viviparity,404,10.49903846,,this study,Centrophorus,sp
Mustelus canis,0.75,Triakidae,demersal,155,ram,lecithotrophic viviparity,404,8.0434,,this study,Mustelus,canis
Squalus cubensis,0.83,Squalidae,demersal,110,stationary,lecithotrophic viviparity,370.5,7.737926667,Squaliformes,this study,Squalus,cubensis
Centrophorus sp,0.31,Centrophoridae,demersal,,stationary,lecithotrophic viviparity,,10.49903846,,this study,Centrophorus,sp
Mustelus canis,0.07,Triakidae,demersal,155,ram,lecithotrophic viviparity,404,8.0434,,this study,Mustelus,canis
Hexanchus nakamurai,0.167,Hexanchidae,demersal,177.8,ram,lecithotrophic viviparity,351,10.609,,this study,Hexanchus,nakamurai
Heptranchias perlo,1,Hexanchidae,demersal,140,ram,lecithotrophic viviparity,500,11.532,Hexanchiformes,this study,Heptranchias,perlo
Hexanchus griseus,0,Hexanchidae,demersal,550,ram,lecithotrophic viviparity,1245,7.4946,Hexanchiformes,this study,Hexanchus,griseus
Centrophorus squamosus,0.33,Centrophoridae,demersal,166,stationary,lecithotrophic viviparity,1683,8.8156,Squaliformes,this study,Centrophorus,squamosus
Centrophorus squamosus,0.012,Centrophoridae,demersal,166,stationary,lecithotrophic viviparity,1683,8.8156,Squaliformes,this study,Centrophorus,squamosus
Centroscymnus coelolepis,0.045,Somniosidae,demersal,130,stationary,lecithotrophic viviparity,1901.5,4.5968,Squaliformes,this study,Centroscymnus,coelolepis
Deania calceus,0.088,Centrophoridae,demersal,127,stationary,lecithotrophic viviparity,775,6.3057,,this study,Deania,calceus
Galeus melastomus,0.38,Scyliorhinidae,demersal,90,stationary,lecithotrophic oviparity,1027.5,6.0236,,this study,Galeus,melastomus
Dalatias licha,0.25,Dalatiidae,demersal,182,stationary,lecithotrophic viviparity,915.5,9.7975,Squaliformes,this study,Dalatias,licha
Deania profundorum,0.143,Centrophoridae,demersal,97,stationary,lecithotrophic viviparity,1002.5,6.0616,Squaliformes,this study,Deania,profundorum
Etmopterus pusillus,0.5,Etmopteridae,demersal,50.2,stationary,lecithotrophic viviparity,560,8.4153,Squaliformes,this study,Etmopterus,pusillus
Carcharhinus falciformis,0.07,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,250,10.089,Carcharhiniformes,this study,Carcharhinus,falciformis
Carcharhinus falciformis,0.848,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,250,10.089,Carcharhiniformes,this study,Carcharhinus,falciformis
Gymnura natalensis,0.464,Gymnuridae,demersal,250,stationary,matrotrophic viviparity,37.5,6.4866,,this study,Gymnura,natalensis
Himantura gerrardi,0.426,Dasyatidae,demersal,107,stationary,matrotrophic viviparity,37.5,8.257925234,Myliobatiformes,this study,Himantura,gerrardi
Dasyatis chrysonota,0.177,Dasyatidae,demersal,75,stationary,matrotrophic viviparity,50.5,5.4954,Myliobatiformes,this study,Dasyatis,chrysonota
Himantura uarnak,0.25,Dasyatidae,demersal,160,stationary,matrotrophic viviparity,25,8.257925234,Myliobatiformes,this study,Himantura,uarnak
Bathytoshia lata,0.7,Dasyatidae,demersal,260,stationary,matrotrophic viviparity,400,10.153,,this study,Bathytoshia,lata
Sphyrna lewini,0.976,Sphyrnidae,pelagic,430,ram,matrotrophic viviparity,521.5,14.608,Carcharhiniformes,this study,Sphyrna,lewini
Mustelus mosis,0.286,Triakidae,demersal,150,ram,lecithotrophic viviparity,135,5.461,,this study,Mustelus,mosis
Rhizoprionodon acutus,0.292,Carcharhinidae,demersal,178,ram,matrotrophic viviparity,100.5,6.0408,Carcharhiniformes,this study,Rhizoprionodon,acutus
Carcharhinus brevipinna,0.56,Carcharhinidae,pelagic,304,ram,matrotrophic viviparity,100,10.685,Carcharhiniformes,this study,Carcharhinus,brevipinna
Carcharhinus obscurus,0.125,Carcharhinidae,pelagic,420,ram,matrotrophic viviparity,250,7.0963,Carcharhiniformes,this study,Carcharhinus,obscurus
Carcharhinus plumbeus,0.33,Carcharhinidae,pelagic,243,ram,matrotrophic viviparity,140,15.327,Carcharhiniformes,this study,Carcharhinus,plumbeus
Halaelurus lineatus,0.192,Scyliorhinidae,demersal,56,stationary,lecithotrophic oviparity,145,8.381,,this study,Halaelurus,lineatus
Acroteriobatus leucospilus,0.526,Rhinobatidae,demersal,120,stationary,lecithotrophic viviparity,50,6.0614,,this study,Acroteriobatus,leucospilus
Rhynchobatus djiddensis,0.182,Rhinidae,pelagic,310,stationary,lecithotrophic viviparity,38,113.03,,this study,Rhynchobatus,djiddensis
Acroteriobatus annulatus,0.111,Rhinobatidae,demersal,140,stationary,lecithotrophic viviparity,36.5,6.0614,Rhinopristiformes,this study,Acroteriobatus,annulatus
Aetomylaeus bovinus,0.25,Myliobatidae,pelagic,222,stationary,matrotrophic viviparity,50,19.152,,this study,Aetomylaeus,bovinus
Aetobatus narinari,0,Aetobatidae,pelagic,226,stationary,matrotrophic viviparity,30,9.6919,,this study,Aetobatus,narinari
Squatina africana,0.6,Squatinidae,demersal,122,stationary,lecithotrophic viviparity,300,9.8045,Squatiniformes,this study,Squatina,africana
Torpedo sinuspersici,0.4,Torpedinidae,pelagic,130,stationary,lecithotrophic viviparity,101,31.9,Torpediniformes,this study,Torpedo,sinuspersici
Carcharhinus dussumieri,0.52,Carcharhinidae,pelagic,100.7,ram,matrotrophic viviparity,50,9.6066,Carcharhiniformes,this study,Carcharhinus,dussumieri
Carcharhinus sorrah,0.65,Carcharhinidae,pelagic,166,ram,matrotrophic viviparity,70,5.01,Carcharhiniformes,this study,Carcharhinus,sorrah
Carcharhinus tilstoni,0.82,Carcharhinidae,pelagic,200,ram,matrotrophic viviparity,75,9.92492714,Carcharhiniformes,this study,Carcharhinus,tilstoni
Rhizoprionodon acutus,0.82,Carcharhinidae,demersal,178,ram,matrotrophic viviparity,100.5,6.0408,Carcharhiniformes,this study,Rhizoprionodon,acutus
Rhynchobatus djiddensis,0.1,Rhinidae,pelagic,310,stationary,lecithotrophic viviparity,38,113.03,,this study,Rhynchobatus,djiddensis
Himantura toshi,0.53,Dasyatidae,demersal,74,stationary,matrotrophic viviparity,70,8.257925234,Myliobatiformes,this study,Himantura,toshi
Gymnura natalensis,0.34,Gymnuridae,demersal,250,stationary,matrotrophic viviparity,37.5,6.4866,,this study,Gymnura,natalensis
Dasyatis sp,0.072,Dasyatidae,,,stationary,matrotrophic viviparity,,5.4954,,this study,Dasyatis,sp
Squalus acanthias,0.175,Squalidae,pelagic,200,stationary,lecithotrophic viviparity,989,8.2153,Squaliformes,this study,Squalus,acanthias
Squalus acanthias,0.75,Squalidae,pelagic,200,stationary,lecithotrophic viviparity,989,8.2153,Squaliformes,this study,Squalus,acanthias
Carcharhinus plumbeus,0.005,Carcharhinidae,pelagic,243,ram,matrotrophic viviparity,140,15.327,Carcharhiniformes,this study,Carcharhinus,plumbeus
Carcharhinus plumbeus,0.031,Carcharhinidae,pelagic,243,ram,matrotrophic viviparity,140,15.327,Carcharhiniformes,this study,Carcharhinus,plumbeus
Carcharhinus limbatus,0.35,Carcharhinidae,pelagic,286,ram,matrotrophic viviparity,70,7.7253,Carcharhiniformes,this study,Carcharhinus,limbatus
Carcharhinus limbatus,0.419,Carcharhinidae,pelagic,286,ram,matrotrophic viviparity,70,7.7253,Carcharhiniformes,this study,Carcharhinus,limbatus
Galeocerdo cuvier,0,Carcharhinidae,pelagic,740,ram,matrotrophic viviparity,556,12.342,,this study,Galeocerdo,cuvier
Galeocerdo cuvier,0.019,Carcharhinidae,pelagic,740,ram,matrotrophic viviparity,556,12.342,,this study,Galeocerdo,cuvier
Carcharhinus leucas,0,Carcharhinidae,pelagic,366,ram,matrotrophic viviparity,82.5,6.6321,Carcharhiniformes,this study,Carcharhinus,leucas
Carcharhinus leucas,0.071,Carcharhinidae,pelagic,366,ram,matrotrophic viviparity,82.5,6.6321,Carcharhiniformes,this study,Carcharhinus,leucas
Carcharhinus brevipinna,0.618,Carcharhinidae,pelagic,304,ram,matrotrophic viviparity,100,10.685,Carcharhiniformes,this study,Carcharhinus,brevipinna
Carcharhinus brevipinna,0.714,Carcharhinidae,pelagic,304,ram,matrotrophic viviparity,100,10.685,Carcharhiniformes,this study,Carcharhinus,brevipinna
Ginglymostoma cirratum,0,Orectolobidae,pelagic,308,ram,lecithotrophic viviparity,65,3.1785,,this study,Ginglymostoma,cirratum
Negaprion brevirostris,0,Carcharhinidae,pelagic,368,ram,matrotrophic viviparity,60,7.4039,Carcharhiniformes,this study,Negaprion,brevirostris
Negaprion brevirostris,0.035,Carcharhinidae,pelagic,368,ram,matrotrophic viviparity,60,7.4039,Carcharhiniformes,this study,Negaprion,brevirostris
Carcharhinus limbatus,0.242,Carcharhinidae,pelagic,286,ram,matrotrophic viviparity,70,7.7253,Carcharhiniformes,this study,Carcharhinus,limbatus
Carcharhinus leucas,0.185,Carcharhinidae,pelagic,366,ram,matrotrophic viviparity,82.5,6.6321,Carcharhiniformes,this study,Carcharhinus,leucas
Sphyrna tiburo,0.308,Sphyrnidae,pelagic,150,ram,matrotrophic viviparity,45,4.199,Carcharhiniformes,this study,Sphyrna,tiburo
Carcharhinus acronotus,0.813,Carcharhinidae,pelagic,164,ram,matrotrophic viviparity,51.5,8.3419,Carcharhiniformes,this study,Carcharhinus,acronotus
Carcharhinus limbatus,0.905,Carcharhinidae,pelagic,286,ram,matrotrophic viviparity,70,7.7253,Carcharhiniformes,this study,Carcharhinus,limbatus
Sphyrna tiburo,0.715,Sphyrnidae,pelagic,150,ram,matrotrophic viviparity,45,4.199,Carcharhiniformes,this study,Sphyrna,tiburo
Notorynchus cepedianus,0.332,Hexanchidae,demersal,296,ram,lecithotrophic viviparity,285,8.1187,Hexanchiformes,this study,Notorynchus,cepedianus
Squalus acanthias,0.135,Squalidae,pelagic,200,stationary,lecithotrophic viviparity,989,8.2153,Squaliformes,this study,Squalus,acanthias
Pristiophorus nudipinnis,0.416,Pristiophoridae,demersal,124,stationary,lecithotrophic viviparity,82.5,6.0799,Pristiophoriformes,this study,Pristiophorus,nudipinnis
Pristiophorus cirratus,0.247,Pristiophoridae,demersal,149,stationary,lecithotrophic viviparity,335,5.7533,Pristiophoriformes,this study,Pristiophorus,cirratus
Squatina australis,0.25,Squatinidae,demersal,152,stationary,lecithotrophic viviparity,65,8.0911,Squatiniformes,this study,Squatina,australis
Galeorhinus galeus,0.727,Triakidae,pelagic,199,ram,lecithotrophic viviparity,400,11.901,Carcharhiniformes,this study,Galeorhinus,galeus
Carcharhinus brachyurus,0.362,Carcharhinidae,pelagic,322,ram,matrotrophic viviparity,73,6.2708,Carcharhiniformes,this study,Carcharhinus,brachyurus
Sphyrna zygaena,0.893,Sphyrnidae,pelagic,400,ram,matrotrophic viviparity,100,10.906,Carcharhiniformes,this study,Sphyrna,zygaena
Carcharodon carcharias,0.071,Lamnidae,pelagic,594.4,ram,matrotrophic viviparity,600,7.7326,Lamniformes,this study,Carcharodon,carcharias
Carcharodon carcharias,0.44,Lamnidae,pelagic,594.4,ram,matrotrophic viviparity,600,7.7326,Lamniformes,this study,Carcharodon,carcharias
Isurus oxyrinchus,0.284,Lamnidae,pelagic,445,ram,matrotrophic viviparity,375,13.922,Lamniformes,this study,Isurus,oxyrinchus
Lamna nasus,0.392,Lamnidae,pelagic,365,ram,matrotrophic viviparity,904.5,6.2338,Lamniformes,this study,Lamna,nasus
Prionace glauca,0.135,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,this study,Prionace,glauca
Alopias superciliosus,0.537,Alopiidae,pelagic,484,ram,matrotrophic viviparity,361.5,11.023,Lamniformes,this study,Alopias,superciliosus
Isurus oxyrinchus,0.35,Lamnidae,pelagic,445,ram,matrotrophic viviparity,375,13.922,Lamniformes,this study,Isurus,oxyrinchus
Carcharhinus falciformis,0.663,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,250,10.089,Carcharhiniformes,this study,Carcharhinus,falciformis
Carcharhinus longimanus,0.275,Carcharhinidae,pelagic,350,ram,matrotrophic viviparity,541,9.5821,Carcharhiniformes,this study,Carcharhinus,longimanus
Carcharhinus obscurus,0.487,Carcharhinidae,pelagic,420,ram,matrotrophic viviparity,250,7.0963,Carcharhiniformes,this study,Carcharhinus,obscurus
Carcharhinus plumbeus,0.268,Carcharhinidae,pelagic,243,ram,matrotrophic viviparity,140,15.327,Carcharhiniformes,this study,Carcharhinus,plumbeus
Carcharhinus signatus,0.808,Carcharhinidae,pelagic,280,ram,matrotrophic viviparity,300,10.667,Carcharhiniformes,this study,Carcharhinus,signatus
Galeocerdo cuvier,0.03,Carcharhinidae,pelagic,740,ram,matrotrophic viviparity,556,12.342,,this study,Galeocerdo,cuvier
Prionace glauca,0.122,Carcharhinidae,pelagic,383.5,ram,matrotrophic viviparity,500,8.6017,Carcharhiniformes,this study,Prionace,glauca
Sphyrna lewini,0.61,Sphyrnidae,pelagic,430,ram,matrotrophic viviparity,521.5,14.608,Carcharhiniformes,this study,Sphyrna,lewini
Carcharhinus limbatus,0.88,Carcharhinidae,pelagic,286,ram,matrotrophic viviparity,70,7.7253,Carcharhiniformes,this study,Carcharhinus,limbatus
Carcharhinus obscurus,0.81,Carcharhinidae,pelagic,420,ram,matrotrophic viviparity,250,7.0963,Carcharhiniformes,this study,Carcharhinus,obscurus
Carcharhinus plumbeus,0.36,Carcharhinidae,pelagic,243,ram,matrotrophic viviparity,140,15.327,Carcharhiniformes,this study,Carcharhinus,plumbeus
Galeocerdo cuvier,0.085,Carcharhinidae,pelagic,740,ram,matrotrophic viviparity,556,12.342,,this study,Galeocerdo,cuvier
Sphyrna lewini,0.914,Sphyrnidae,pelagic,430,ram,matrotrophic viviparity,521.5,14.608,Carcharhiniformes,this study,Sphyrna,lewini
