family,hook,leader,location,flagstate,source,group,sample_size,estimate,scientific_name,gear_class,max_size_cm,median_depth,reproductive_mode,ventilation_method,estimate_type,redlist_category,genus,ac,habitat
Sphyrnidae,c,mono,Canada,Canada,Gilman et al (2022),Sharks,6,0.6666666666666666,Sphyrna mokarran,longline,610,150,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,7.3981,pelagic
Sphyrnidae,c,mono,Canada,Canada,Gilman et al (2022),Sharks,3,0,Sphyrna mokarran,longline,610,150,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,7.3981,pelagic
Lamnidae,c,mono,Canada,Canada,Gilman et al (2022),Sharks,2,0,Isurus paucus,longline,427,876,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,10.319,pelagic
Lamnidae,c,mono,Canada,Canada,Gilman et al (2022),Sharks,3,0.3333333333333333,Isurus paucus,longline,427,876,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,10.319,pelagic
Lamnidae,c,mono,Canada,Canada,Gilman et al (2022),Sharks,8,0.5,Isurus paucus,longline,427,876,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,10.319,pelagic
Alopiidae,c,mono,USA,USA,Gilman et al (2022),Sharks,91,0.05494505494505494,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Carcharhinidae,c,mono,USA,USA,Gilman et al (2022),Sharks,1001,0.00999000999000999,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Dasyatidae,c,mono,USA,USA,Gilman et al (2022),Batoids,59,0,Pteroplatytrygon violacea,longline,163.5,190.5,matrotrophic viviparity,stationary,at-vessel mortality,,Pteroplatytrygon,8.2973,pelagic
Lamnidae,c,mono,USA,USA,Gilman et al (2022),Sharks,29,0.13793103448275862,Isurus oxyrinchus,longline,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,pelagic
Somniosidae,c,mono,USA,USA,Gilman et al (2022),Sharks,15,0.06666666666666667,Scymnodon ichiharai,longline,151.1,640,lecithotrophic viviparity,stationary,at-vessel mortality,,Scymnodon,3.9064,pelagic
Carcharhinidae,c,mono,Tropical Atlantic,Taiwan,Gilman et al (2022),Sharks,609,0.32019704433497537,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Carcharhinidae,j,mono,Tropical Atlantic,Taiwan,Gilman et al (2022),Sharks,564,0.3102836879432624,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Mobulidae,c,other,American Samoa,USA,Gilman et al (2022),Batoids,10,0,Mobula birostris,longline,700,500,matrotrophic viviparity,ram,at-vessel mortality,,Mobula,6.353,pelagic
Dasyatidae,c,other,American Samoa,USA,Gilman et al (2022),Batoids,17966,0.1211176667037738,Pteroplatytrygon violacea,longline,163.5,190.5,matrotrophic viviparity,stationary,at-vessel mortality,,Pteroplatytrygon,8.2973,pelagic
Carcharhinidae,c,other,American Samoa,USA,Gilman et al (2022),Sharks,1192,0.3238255033557047,Carcharhinus longimanus,longline,350,541,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,9.5821,pelagic
Carcharhinidae,c,other,American Samoa,USA,Gilman et al (2022),Sharks,3328,0.3590745192307692,Carcharhinus falciformis,longline,350,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,10.089,pelagic
Carcharhinidae,c,other,American Samoa,USA,Gilman et al (2022),Sharks,6879,0.0585840965256578,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Alopiidae,c,other,American Samoa,USA,Gilman et al (2022),Sharks,410,0.1926829268292683,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Alopiidae,c,other,American Samoa,USA,Gilman et al (2022),Sharks,1,0,Alopias vulpinus,longline,573.3,325,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,8.7014,pelagic
Alopiidae,c,other,American Samoa,USA,Gilman et al (2022),Sharks,7,0.5714285714285714,Alopias pelagicus,longline,428,150,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,9.7281,pelagic
Sphyrnidae,c,other,American Samoa,USA,Gilman et al (2022),Sharks,12,0.3333333333333333,Sphyrna lewini,longline,430,521.5,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,14.608,pelagic
Sphyrnidae,c,other,American Samoa,USA,Gilman et al (2022),Sharks,6,0.5,Sphyrna zygaena,longline,400,100,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,10.906,pelagic
Lamnidae,c,other,American Samoa,USA,Gilman et al (2022),Sharks,826,0.4297820823244552,Isurus oxyrinchus,longline,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,pelagic
Lamnidae,c,other,American Samoa,USA,Gilman et al (2022),Sharks,59,0.22033898305084745,Isurus paucus,longline,427,876,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,10.319,pelagic
Carcharhinidae,c,other,American Samoa,USA,Gilman et al (2022),Sharks,2,0,Carcharhinus plumbeus,longline,243,140,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,15.327,pelagic
Carcharhinidae,c,other,American Samoa,USA,Gilman et al (2022),Sharks,18,0.05555555555555555,Carcharhinus galapagensis,longline,300,143,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.0985,pelagic
Carcharhinidae,c,other,American Samoa,USA,Gilman et al (2022),Sharks,1,0,Carcharhinus amblyrhynchos,longline,265,137.5,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,6.8746,pelagic
Somniosidae,c,other,American Samoa,USA,Gilman et al (2022),Sharks,18,0.3888888888888889,Scymnodon ichiharai,longline,151.1,640,lecithotrophic viviparity,stationary,at-vessel mortality,,Scymnodon,3.9064,pelagic
Dalatiidae,c,other,American Samoa,USA,Gilman et al (2022),Sharks,1,0,Isistius brasiliensis,longline,42,1850,lecithotrophic viviparity,ram,at-vessel mortality,,Isistius,15.604,pelagic
Pseudocarchariidae,c,other,American Samoa,USA,Gilman et al (2022),Sharks,22,0.09090909090909093,Pseudocarcharias kamoharai,longline,122,295,matrotrophic viviparity,ram,at-vessel mortality,,Pseudocarcharias,5.2458,pelagic
Dasyatidae,c,wire,American Samoa,USA,Gilman et al (2022),Batoids,38,0.02631578947368421,Pteroplatytrygon violacea,longline,163.5,190.5,matrotrophic viviparity,stationary,at-vessel mortality,,Pteroplatytrygon,8.2973,pelagic
Carcharhinidae,c,wire,American Samoa,USA,Gilman et al (2022),Sharks,15,0.26666666666666666,Carcharhinus longimanus,longline,350,541,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,9.5821,pelagic
Carcharhinidae,c,wire,American Samoa,USA,Gilman et al (2022),Sharks,76,0.3026315789473684,Carcharhinus falciformis,longline,350,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,10.089,pelagic
Carcharhinidae,c,wire,American Samoa,USA,Gilman et al (2022),Sharks,187,0.0427807486631016,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Alopiidae,c,wire,American Samoa,USA,Gilman et al (2022),Sharks,32,0.4375,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Alopiidae,c,wire,American Samoa,USA,Gilman et al (2022),Sharks,4,1,Alopias pelagicus,longline,428,150,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,9.7281,pelagic
Sphyrnidae,c,wire,American Samoa,USA,Gilman et al (2022),Sharks,1,1,Sphyrna zygaena,longline,400,100,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,10.906,pelagic
Lamnidae,c,wire,American Samoa,USA,Gilman et al (2022),Sharks,2,0,Isurus oxyrinchus,longline,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,pelagic
Lamnidae,c,wire,American Samoa,USA,Gilman et al (2022),Sharks,2,0.5,Isurus paucus,longline,427,876,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,10.319,pelagic
Pseudocarchariidae,c,wire,American Samoa,USA,Gilman et al (2022),Sharks,13,0.3076923076923077,Pseudocarcharias kamoharai,longline,122,295,matrotrophic viviparity,ram,at-vessel mortality,,Pseudocarcharias,5.2458,pelagic
Mobulidae,j,other,American Samoa,USA,Gilman et al (2022),Batoids,3,0,Mobula birostris,longline,700,500,matrotrophic viviparity,ram,at-vessel mortality,,Mobula,6.353,pelagic
Dasyatidae,j,other,American Samoa,USA,Gilman et al (2022),Batoids,298,0.00335570469798657,Pteroplatytrygon violacea,longline,163.5,190.5,matrotrophic viviparity,stationary,at-vessel mortality,,Pteroplatytrygon,8.2973,pelagic
Carcharhinidae,j,other,American Samoa,USA,Gilman et al (2022),Sharks,10,0.4,Carcharhinus longimanus,longline,350,541,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,9.5821,pelagic
Carcharhinidae,j,other,American Samoa,USA,Gilman et al (2022),Sharks,60,0.36666666666666664,Carcharhinus falciformis,longline,350,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,10.089,pelagic
Carcharhinidae,j,other,American Samoa,USA,Gilman et al (2022),Sharks,109,0.04587155963302752,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Alopiidae,j,other,American Samoa,USA,Gilman et al (2022),Sharks,6,0.16666666666666666,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Sphyrnidae,j,other,American Samoa,USA,Gilman et al (2022),Sharks,1,0,Sphyrna lewini,longline,430,521.5,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,14.608,pelagic
Lamnidae,j,other,American Samoa,USA,Gilman et al (2022),Sharks,13,0.5384615384615384,Isurus oxyrinchus,longline,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,pelagic
Carcharhinidae,j,other,American Samoa,USA,Gilman et al (2022),Sharks,1,0,Carcharhinus galapagensis,longline,300,143,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.0985,pelagic
Alopiidae,c,mono,North Pacific Ocean,USA,Gilman et al (2022),Sharks,4,0,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Carcharhinidae,c,mono,North Pacific Ocean,USA,Gilman et al (2022),Sharks,10,0,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Odontaspididae,c,mono,Hawaii,USA,Gilman et al (2022),Sharks,3,0.3333333333333333,Odontaspis noronhai,longline,367,530,matrotrophic viviparity,ram,at-vessel mortality,,Odontaspis,6.0088,pelagic
Alopiidae,c,mono,Hawaii,USA,Gilman et al (2022),Sharks,633,0.2006319115323855,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Carcharhinidae,c,mono,Hawaii,USA,Gilman et al (2022),Sharks,1,0,Carcharhinus altimus,longline,300,405,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,17.283,pelagic
Carcharhinidae,c,mono,Hawaii,USA,Gilman et al (2022),Sharks,161420,0.09097385701895676,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Alopiidae,c,mono,Hawaii,USA,Gilman et al (2022),Sharks,44,0.20454545454545456,Alopias vulpinus,longline,573.3,325,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,8.7014,pelagic
Dalatiidae,c,mono,Hawaii,USA,Gilman et al (2022),Sharks,56,0.5357142857142857,Isistius brasiliensis,longline,42,1850,lecithotrophic viviparity,ram,at-vessel mortality,,Isistius,15.604,pelagic
Pseudocarchariidae,c,mono,Hawaii,USA,Gilman et al (2022),Sharks,57,0.15789473684210523,Pseudocarcharias kamoharai,longline,122,295,matrotrophic viviparity,ram,at-vessel mortality,,Pseudocarcharias,5.2458,pelagic
Carcharhinidae,c,mono,Hawaii,USA,Gilman et al (2022),Sharks,10,0.1,Carcharhinus galapagensis,longline,300,143,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,7.0985,pelagic
Mobulidae,c,mono,Hawaii,USA,Gilman et al (2022),Batoids,17,0.2352941176470588,Mobula birostris,longline,700,500,matrotrophic viviparity,ram,at-vessel mortality,,Mobula,6.353,pelagic
Carcharhinidae,c,mono,Hawaii,USA,Gilman et al (2022),Sharks,3,0,Carcharhinus amblyrhynchos,longline,265,137.5,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,6.8746,pelagic
Lamnidae,c,mono,Hawaii,USA,Gilman et al (2022),Sharks,42,0.21428571428571427,Isurus paucus,longline,427,876,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,10.319,pelagic
Carcharhinidae,c,mono,Hawaii,USA,Gilman et al (2022),Sharks,858,0.06876456876456877,Carcharhinus longimanus,longline,350,541,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,9.5821,pelagic
Dasyatidae,c,mono,Hawaii,USA,Gilman et al (2022),Batoids,3562,0.12464907355418305,Pteroplatytrygon violacea,longline,163.5,190.5,matrotrophic viviparity,stationary,at-vessel mortality,,Pteroplatytrygon,8.2973,pelagic
Alopiidae,c,mono,Hawaii,USA,Gilman et al (2022),Sharks,22,0.2727272727272727,Alopias pelagicus,longline,428,150,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,9.7281,pelagic
Lamnidae,c,mono,Hawaii,USA,Gilman et al (2022),Sharks,97,0.7216494845360825,Lamna ditropis,longline,305,325,matrotrophic viviparity,ram,at-vessel mortality,,Lamna,6.2338,pelagic
Carcharhinidae,c,mono,Hawaii,USA,Gilman et al (2022),Sharks,79,0.02531645569620253,Carcharhinus plumbeus,longline,243,140,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,15.327,pelagic
Sphyrnidae,c,mono,Hawaii,USA,Gilman et al (2022),Sharks,2,1,Sphyrna lewini,longline,430,521.5,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,14.608,pelagic
Lamnidae,c,mono,Hawaii,USA,Gilman et al (2022),Sharks,15834,0.24687381583933307,Isurus oxyrinchus,longline,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,pelagic
Carcharhinidae,c,mono,Hawaii,USA,Gilman et al (2022),Sharks,84,0.14285714285714285,Carcharhinus falciformis,longline,350,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,10.089,pelagic
Sphyrnidae,c,mono,Hawaii,USA,Gilman et al (2022),Sharks,16,0.75,Sphyrna zygaena,longline,400,100,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,10.906,pelagic
Carcharhinidae,c,mono,Hawaii,USA,Gilman et al (2022),Sharks,32,0.0625,Galeocerdo cuvier,longline,740,556,matrotrophic viviparity,ram,at-vessel mortality,,Galeocerdo,12.342,pelagic
Somniosidae,c,mono,Hawaii,USA,Gilman et al (2022),Sharks,8,0.25,Scymnodon ichiharai,longline,151.1,640,lecithotrophic viviparity,stationary,at-vessel mortality,,Scymnodon,3.9064,pelagic
Lamnidae,c,mono,Hawaii,USA,Gilman et al (2022),Sharks,2,0,Carcharodon carcharias,longline,594.4,600,matrotrophic viviparity,ram,at-vessel mortality,,Carcharodon,7.7326,pelagic
Alopiidae,c,other,Hawaii,USA,Gilman et al (2022),Sharks,4,0.25,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Carcharhinidae,c,other,Hawaii,USA,Gilman et al (2022),Sharks,209,0.09090909090909093,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Lamnidae,c,other,Hawaii,USA,Gilman et al (2022),Sharks,2,0,Isurus paucus,longline,427,876,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,10.319,pelagic
Dasyatidae,c,other,Hawaii,USA,Gilman et al (2022),Batoids,2,0,Pteroplatytrygon violacea,longline,163.5,190.5,matrotrophic viviparity,stationary,at-vessel mortality,,Pteroplatytrygon,8.2973,pelagic
Lamnidae,c,other,Hawaii,USA,Gilman et al (2022),Sharks,43,0.3953488372093023,Isurus oxyrinchus,longline,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,pelagic
Alopiidae,c,wire,Hawaii,USA,Gilman et al (2022),Sharks,12,0.4166666666666667,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Carcharhinidae,c,wire,Hawaii,USA,Gilman et al (2022),Sharks,1,0,Carcharhinus altimus,longline,300,405,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,17.283,pelagic
Carcharhinidae,c,wire,Hawaii,USA,Gilman et al (2022),Sharks,4073,0.13699975448072674,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Alopiidae,c,wire,Hawaii,USA,Gilman et al (2022),Sharks,1,0,Alopias vulpinus,longline,573.3,325,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,8.7014,pelagic
Dalatiidae,c,wire,Hawaii,USA,Gilman et al (2022),Sharks,1,0,Isistius brasiliensis,longline,42,1850,lecithotrophic viviparity,ram,at-vessel mortality,,Isistius,15.604,pelagic
Pseudocarchariidae,c,wire,Hawaii,USA,Gilman et al (2022),Sharks,1,0,Pseudocarcharias kamoharai,longline,122,295,matrotrophic viviparity,ram,at-vessel mortality,,Pseudocarcharias,5.2458,pelagic
Lamnidae,c,wire,Hawaii,USA,Gilman et al (2022),Sharks,4,0.25,Isurus paucus,longline,427,876,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,10.319,pelagic
Carcharhinidae,c,wire,Hawaii,USA,Gilman et al (2022),Sharks,15,0.06666666666666667,Carcharhinus longimanus,longline,350,541,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,9.5821,pelagic
Dasyatidae,c,wire,Hawaii,USA,Gilman et al (2022),Batoids,133,0.05263157894736842,Pteroplatytrygon violacea,longline,163.5,190.5,matrotrophic viviparity,stationary,at-vessel mortality,,Pteroplatytrygon,8.2973,pelagic
Lamnidae,c,wire,Hawaii,USA,Gilman et al (2022),Sharks,1,1,Lamna ditropis,longline,305,325,matrotrophic viviparity,ram,at-vessel mortality,,Lamna,6.2338,pelagic
Lamnidae,c,wire,Hawaii,USA,Gilman et al (2022),Sharks,480,0.17916666666666667,Isurus oxyrinchus,longline,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,pelagic
Carcharhinidae,c,wire,Hawaii,USA,Gilman et al (2022),Sharks,5,0.2,Carcharhinus falciformis,longline,350,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,10.089,pelagic
Sphyrnidae,c,wire,Hawaii,USA,Gilman et al (2022),Sharks,2,1,Sphyrna zygaena,longline,400,100,matrotrophic viviparity,ram,at-vessel mortality,,Sphyrna,10.906,pelagic
Carcharhinidae,c,wire,Hawaii,USA,Gilman et al (2022),Sharks,1,0,Galeocerdo cuvier,longline,740,556,matrotrophic viviparity,ram,at-vessel mortality,,Galeocerdo,12.342,pelagic
Alopiidae,j,mono,Hawaii,USA,Gilman et al (2022),Sharks,2,0,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Carcharhinidae,j,mono,Hawaii,USA,Gilman et al (2022),Sharks,252,0.06746031746031746,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Dasyatidae,j,mono,Hawaii,USA,Gilman et al (2022),Batoids,1,1,Pteroplatytrygon violacea,longline,163.5,190.5,matrotrophic viviparity,stationary,at-vessel mortality,,Pteroplatytrygon,8.2973,pelagic
Alopiidae,j,mono,Hawaii,USA,Gilman et al (2022),Sharks,5,0,Alopias pelagicus,longline,428,150,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,9.7281,pelagic
Lamnidae,j,mono,Hawaii,USA,Gilman et al (2022),Sharks,27,0.3333333333333333,Isurus oxyrinchus,longline,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,pelagic
Alopiidae,j,other,Hawaii,USA,Gilman et al (2022),Sharks,3,0.6666666666666666,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Carcharhinidae,j,other,Hawaii,USA,Gilman et al (2022),Sharks,38,0.18421052631578944,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
Alopiidae,j,other,Hawaii,USA,Gilman et al (2022),Sharks,1,0,Alopias vulpinus,longline,573.3,325,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,8.7014,pelagic
Pseudocarchariidae,j,other,Hawaii,USA,Gilman et al (2022),Sharks,7,0.8571428571428571,Pseudocarcharias kamoharai,longline,122,295,matrotrophic viviparity,ram,at-vessel mortality,,Pseudocarcharias,5.2458,pelagic
Dasyatidae,j,other,Hawaii,USA,Gilman et al (2022),Batoids,1,0,Pteroplatytrygon violacea,longline,163.5,190.5,matrotrophic viviparity,stationary,at-vessel mortality,,Pteroplatytrygon,8.2973,pelagic
Lamnidae,j,other,Hawaii,USA,Gilman et al (2022),Sharks,2,0,Isurus oxyrinchus,longline,445,375,matrotrophic viviparity,ram,at-vessel mortality,,Isurus,13.922,pelagic
Carcharhinidae,j,other,Hawaii,USA,Gilman et al (2022),Sharks,1,1,Carcharhinus falciformis,longline,350,250,matrotrophic viviparity,ram,at-vessel mortality,,Carcharhinus,10.089,pelagic
Alopiidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,4,0.25,Alopias superciliosus,longline,484,361.5,matrotrophic viviparity,ram,at-vessel mortality,,Alopias,11.023,pelagic
Carcharhinidae,j,wire,Hawaii,USA,Gilman et al (2022),Sharks,78,0.05128205128205128,Prionace glauca,longline,383.5,500,matrotrophic viviparity,ram,at-vessel mortality,,Prionace,8.6017,pelagic
