scientific_name,common_name,family,order,ventilation_method,max_size_cm,measure,median_depth,reproductive_mode,habitat_associated,notes
Squalidae,Dogfish sharks,Squalidae,Squaliformes,stationary,,,,,,
Squaliformes,"Bramble, sleeper, dogfish sharks",Squalifordae,Squaliformes,stationary,,,,,,
Squalus,Dogfishes,Squalidae,Squaliformes,stationary,,total_length,,yolk-sac viviparity,benthopelagic,
Squalus acanthias,Picked dogfish,Squalidae,Squaliformes,stationary,200,total_length,989,yolk-sac viviparity,benthopelagic,
Squalus blainville,Longnose spurdog,Squalidae,Squaliformes,stationary,920,total_length,757.5,yolk-sac viviparity,benthopelagic,
Squalus mitsukurii,Shortspine spurdog,Squalidae,Squaliformes,stationary,125,total_length,479,yolk-sac viviparity,benthopelagic,
Squalus suckleyi,Pacific spiny dogfish,Squalidae,Squaliformes,stationary,130,total_length,618,yolk-sac viviparity,benthopelagic,
Squatina argentina,Argentine angelshark,Squatinidae,Squatiniformes,stationary,1380,total_length,228.5,yolk-sac viviparity,benthocoastal,
Squatina australis,Australian angelshark,Squatinidae,Squatiniformes,stationary,152,total_length,65,yolk-sac viviparity,benthocoastal,
Squatina guggenheim,Angular angel shark,Squatinidae,Squatiniformes,stationary,96,total_length,78.5,yolk-sac viviparity,benthocoastal,
Squatina squatina,Angelshark,Squatinidae,Squatiniformes,stationary,244,total_length,76,yolk-sac viviparity,benthocoastal,
Squatina tergocellata,Ornate angelshark,Squatinidae,Squatiniformes,stationary,140,total_length,264,yolk-sac viviparity,benthocoastal,
Squatinidae,Angel sharks,Squatinidae,Squatiniformes,stationary,,,,,,
Sympterygia acuta,Bignose fanskate,Arhynchobatidae,,stationary,62,disk_width,94,oviparous,demersal,
Sympterygia bonapartii,Smallnose skate,Arhynchobatidae,,stationary,88,disk_width,250,oviparous,demersal,
Torpedinidae,,,,,,,,,,
Torpedo,,,,,,,,,,
Torpedo marmorata,Marbled electric ray,Torpedinidae,Torpediniformes,stationary,63,total_length,186,yolk-sac viviparity,reef-associated,
Torpedo torpedo,Ocellate torpedo,Torpedinidae,Torpediniformes,stationary,60,total_length,155,yolk-sac viviparity,demersal,
Triaenodon obesus,Whitetip reef shark,Carcharhinidae,Carcharhiniformes,stationary,168,total_length,165.5,yolk-sac viviparity,reef-associated,
Triakidae,Houndsharks,Triakidae,Carcharhiniformes,ram,,,,,,
Triakis megalopterus,Sharptooth houndshark,Triakidae,Carcharhiniformes,ram,207.5,total_length,25,yolk-sac viviparity,demersal,
Triakis semifasciata,Leopard shark,Triakidae,Carcharhiniformes,ram,213,total_length,78,yolk-sac viviparity,demersal,
Urobatis jamaicensis,Yellow stingray,Urotrygonidae,Myliobatiformes,stationary,76,total_length,35.5,histotrophy,reef-associated,
Urolophidae,,,,,,,,,,
Dipturus chilensis,Yellownose skate,Rajidae,Rajiformes,stationary,168,total_length,307,oviparous,demersal,
